sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,34948,15052,15010,34990,49958,50042,49895,50105,0.21,0.21,0.21
1,50000,50000,50000,50000,35079,14921,14797,35203,49876,50124,49690,50310,0.62,0.62,0.62
2,50000,50000,50000,50000,34903,15097,14813,35187,49716,50284,49290,50710,1.42,1.42,1.42
3,50000,50000,50000,50000,34934,15066,15092,34908,50026,49974,50065,49935,0.13,0.13,0.13
4,50000,50000,50000,50000,34898,15102,14966,35034,49864,50136,49660,50340,0.68,0.68,0.68
5,50000,50000,50000,50000,34978,15022,14821,35179,49799,50201,49498,50502,1.004,1.004,1.004
6,50000,50000,50000,50000,35017,14983,14919,35081,49936,50064,49840,50160,0.32,0.32,0.32
7,50000,50000,50000,50000,35065,14935,14961,35039,50026,49974,50065,49935,0.13,0.13,0.13
8,50000,50000,50000,50000,34925,15075,15027,34973,49952,50048,49880,50120,0.24,0.24,0.24
9,50000,50000,50000,50000,34927,15073,15100,34900,50027,49973,50068,49932,0.136,0.136,0.136
10,50000,50000,50000,50000,35058,14942,15104,34896,50162,49838,50405,49595,0.81,0.81,0.81
11,50000,50000,50000,50000,35116,14884,14951,35049,50067,49933,50168,49832,0.336,0.336,0.336
12,50000,50000,50000,50000,35079,14921,15001,34999,50080,49920,50200,49800,0.4,0.4,0.4
13,50000,50000,50000,50000,35071,14929,15075,34925,50146,49854,50365,49635,0.73,0.73,0.73
14,50000,50000,50000,50000,34931,15069,15106,34894,50037,49963,50093,49907,0.186,0.186,0.186
15,50000,50000,50000,50000,34833,15167,15005,34995,49838,50162,49595,50405,0.81,0.81,0.81
16,50000,50000,50000,50000,35007,14993,15017,34983,50024,49976,50060,49940,0.12,0.12,0.12
17,50000,50000,50000,50000,35004,14996,15035,34965,50039,49961,50098,49902,0.196,0.196,0.196
18,50000,50000,50000,50000,35134,14866,14993,35007,50127,49873,50318,49682,0.636,0.636,0.636
19,50000,50000,50000,50000,34932,15068,15069,34931,50001,49999,50003,49997,0.006,0.006,0.006
20,50000,50000,50000,50000,34944,15056,14999,35001,49943,50057,49858,50142,0.284,0.284,0.284
21,50000,50000,50000,50000,34974,15026,14809,35191,49783,50217,49458,50542,1.084,1.084,1.084
22,50000,50000,50000,50000,35160,14840,15098,34902,50258,49742,50645,49355,1.29,1.29,1.29
23,50000,50000,50000,50000,34891,15109,15044,34956,49935,50065,49838,50162,0.324,0.324,0.324
24,50000,50000,50000,50000,34793,15207,14941,35059,49734,50266,49335,50665,1.33,1.33,1.33
25,50000,50000,50000,50000,34963,15037,15012,34988,49975,50025,49938,50062,0.124,0.124,0.124
26,50000,50000,50000,50000,35006,14994,15130,34870,50136,49864,50340,49660,0.68,0.68,0.68
27,50000,50000,50000,50000,35000,15000,15063,34937,50063,49937,50158,49842,0.316,0.316,0.316
28,50000,50000,50000,50000,34949,15051,15232,34768,50181,49819,50453,49547,0.906,0.906,0.906
29,50000,50000,50000,50000,34923,15077,15135,34865,50058,49942,50145,49855,0.29,0.29,0.29
30,50000,50000,50000,50000,35058,14942,15167,34833,50225,49775,50563,49437,1.126,1.126,1.126
31,50000,50000,50000,50000,35028,14972,15038,34962,50066,49934,50165,49835,0.33,0.33,0.33
32,50000,50000,50000,50000,35036,14964,15059,34941,50095,49905,50238,49762,0.476,0.476,0.476
33,50000,50000,50000,50000,35001,14999,15016,34984,50017,49983,50043,49957,0.086,0.086,0.086
34,50000,50000,50000,50000,35017,14983,15013,34987,50030,49970,50075,49925,0.15,0.15,0.15
35,50000,50000,50000,50000,34984,15016,14860,35140,49844,50156,49610,50390,0.78,0.78,0.78
36,50000,50000,50000,50000,34853,15147,14971,35029,49824,50176,49560,50440,0.88,0.88,0.88
37,50000,50000,50000,50000,35039,14961,15126,34874,50165,49835,50413,49587,0.826,0.826,0.826
38,50000,50000,50000,50000,35068,14932,14901,35099,49969,50031,49923,50077,0.154,0.154,0.154
39,50000,50000,50000,50000,34926,15074,14844,35156,49770,50230,49425,50575,1.15,1.15,1.15
40,50000,50000,50000,50000,34915,15085,15032,34968,49947,50053,49868,50132,0.264,0.264,0.264
41,50000,50000,50000,50000,35055,14945,14973,35027,50028,49972,50070,49930,0.14,0.14,0.14
42,50000,50000,50000,50000,35160,14840,15093,34907,50253,49747,50633,49367,1.266,1.266,1.266
43,50000,50000,50000,50000,34940,15060,15080,34920,50020,49980,50050,49950,0.1,0.1,0.1
44,50000,50000,50000,50000,34974,15026,14876,35124,49850,50150,49625,50375,0.75,0.75,0.75
45,50000,50000,50000,50000,35043,14957,14965,35035,50008,49992,50020,49980,0.04,0.04,0.04
46,50000,50000,50000,50000,34962,15038,14906,35094,49868,50132,49670,50330,0.66,0.66,0.66
47,50000,50000,50000,50000,34884,15116,14945,35055,49829,50171,49573,50427,0.854,0.854,0.854
48,50000,50000,50000,50000,34859,15141,14901,35099,49760,50240,49400,50600,1.2,1.2,1.2
49,50000,50000,50000,50000,35106,14894,14980,35020,50086,49914,50215,49785,0.43,0.43,0.43
