num_repeats,num_candidates,alpha,c1,c2,count,mean,std,min,25%,50%,75%,max
5,2,0.7,50000,50000,10.0,0.7639999999999999,0.4315100101838762,0.31,0.366,0.714,1.036,1.394
10,2,0.7,50000,50000,20.0,0.4866,0.3047981903524121,0.154,0.25,0.41700000000000004,0.74,1.02
10,2,0.7,50000,50000,20.0,0.6338,0.4590300529090488,0.104,0.224,0.603,0.874,1.7
5,2,0.7,50000,50000,10.0,0.7388,0.854803525183809,0.096,0.21,0.32,0.774,2.294
100,2,0.7,50000,50000,200.0,0.5634800000000001,0.39224631990292397,0.024,0.233,0.5,0.87,1.746
5,2,0.7,50000,50000,10.0,0.9683999999999999,0.3309445069292837,0.346,1.056,1.11,1.15,1.18
10,2,0.7,50000,50000,20.0,0.5786,0.28735314784937954,0.184,0.296,0.663,0.796,1.02
50,2,0.7,50000,50000,100.0,0.5482,0.4042240103025184,0.006,0.186,0.41500000000000004,0.826,1.42
50,2,0.7,50000,50000,100.0,0.5821200000000001,0.4239343211947679,0.02,0.24,0.517,0.914,1.504
10,2,0.7,50000,50000,20.0,0.5012000000000001,0.2798017343161328,0.144,0.294,0.475,0.704,1.12
5,2,0.7,50000,50000,10.0,0.49160000000000004,0.3234739213256268,0.07,0.21,0.61,0.664,0.904
100,2,0.7,50000,50000,200.0,0.55412,0.4313631840838003,0.0,0.21,0.49,0.744,2.05
5,2,0.7,50000,50000,10.0,0.5288000000000002,0.42236919079560403,0.174,0.18,0.266,0.914,1.11
10,2,0.7,50000,50000,20.0,0.5984,0.2631898254312395,0.106,0.43,0.602,0.8,1.014
10,2,0.7,50000,50000,20.0,0.5164000000000001,0.43424834029922504,0.03,0.13,0.41200000000000003,0.83,1.376
5,2,0.7,50000,50000,10.0,0.36760000000000004,0.21001333291007981,0.106,0.214,0.334,0.544,0.64
5,2,0.7,50000,50000,10.0,0.3771999999999999,0.4610106771479858,0.09,0.124,0.19,0.236,1.246
10,2,0.7,50000,50000,20.0,0.5896000000000001,0.3040371168476846,0.12,0.35,0.5980000000000001,0.88,0.966
10,2,0.7,50000,50000,20.0,0.7777999999999999,0.526843590092024,0.24,0.37,0.5409999999999999,1.276,1.77
5,2,0.7,50000,50000,10.0,0.5927999999999999,0.5903198379786259,0.024,0.09,0.324,1.16,1.366
100,2,0.7,50000,50000,200.0,0.6085,0.5170973004091708,0.0,0.163,0.44699999999999995,0.9735,2.04
5,2,0.7,50000,50000,10.0,0.47639999999999993,0.3558361670457034,0.006,0.256,0.45,0.69,0.98
50,2,0.7,50000,50000,100.0,0.6116000000000001,0.45380456791286916,0.01,0.254,0.544,0.79,2.06
50,2,0.7,50000,50000,100.0,0.42024,0.3681009172122847,0.01,0.17,0.308,0.604,1.56
5,2,0.7,50000,50000,10.0,0.5728000000000001,0.3092603362145808,0.26,0.406,0.444,0.65,1.104
100,2,0.7,50000,50000,200.0,0.5650200000000001,0.4194552576447566,0.01,0.243,0.45,0.7785,2.014
100,2,0.7,50000,50000,200.0,0.6147199999999999,0.4190392955992092,0.0,0.2565,0.563,0.884,1.73
10,2,0.7,50000,50000,20.0,0.43400000000000016,0.2986171638173462,0.01,0.194,0.392,0.556,0.94
50,2,0.7,50000,50000,100.0,0.4942399999999999,0.41891415962141115,0.014,0.194,0.37,0.7,2.096
50,2,0.7,50000,50000,100.0,0.5348,0.41456882797831424,0.004,0.166,0.368,0.91,1.37
10,2,0.7,50000,50000,20.0,0.4877999999999999,0.3877204093022105,0.04,0.234,0.33699999999999997,0.606,1.22
100,2,0.7,50000,50000,200.0,0.56148,0.39292390558209794,0.016,0.265,0.464,0.7224999999999999,1.654
100,2,0.7,50000,50000,200.0,0.49504,0.4091892687845592,0.03,0.1755,0.335,0.712,1.936
50,2,0.7,50000,50000,100.0,0.54232,0.41542410798477925,0.0,0.224,0.42000000000000004,0.78,1.66
50,2,0.7,50000,50000,100.0,0.583,0.47881912824756445,0.034,0.19,0.39,0.88,2.06
100,2,0.7,50000,50000,200.0,0.5686999999999999,0.4626208384854762,0.0,0.22,0.47,0.821,2.12
100,2,0.7,50000,50000,200.0,0.57068,0.4768194643762356,0.004,0.2075,0.461,0.821,2.75
50,2,0.7,50000,50000,100.0,0.57244,0.3248444637923904,0.006,0.34,0.5229999999999999,0.804,1.36
50,2,0.7,50000,50000,100.0,0.59024,0.4637769648562908,0.006,0.224,0.427,0.81,1.714
100,2,0.7,50000,50000,200.0,0.63044,0.4200246539784882,0.006,0.288,0.552,0.924,1.944
