sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,500000,500000,500000,500000,333178,166822,167182,332818,500360,499640,501084,498916,0.2168,0.2168,0.2168
1,500000,500000,500000,500000,332910,167090,167740,332260,500650,499350,501958,498042,0.3916,0.3916,0.3916
2,500000,500000,500000,500000,333606,166394,166602,333398,500208,499792,500627,499373,0.1254,0.1254,0.1254
3,500000,500000,500000,500000,332698,167302,167415,332585,500113,499887,500340,499660,0.068,0.068,0.068
4,500000,500000,500000,500000,333055,166945,167181,332819,500236,499764,500711,499289,0.1422,0.1422,0.1422
5,500000,500000,500000,500000,332658,167342,166633,333367,499291,500709,497864,502136,0.4272,0.4272,0.4272
6,500000,500000,500000,500000,333497,166503,167575,332425,501072,498928,503229,496771,0.6458,0.6458,0.6458
7,500000,500000,500000,500000,332442,167558,166747,333253,499189,500811,497557,502443,0.4886,0.4886,0.4886
8,500000,500000,500000,500000,333201,166799,166634,333366,499835,500165,499503,500497,0.0994,0.0994,0.0994
9,500000,500000,500000,500000,333226,166774,167516,332484,500742,499258,502235,497765,0.447,0.447,0.447
10,500000,500000,500000,500000,332747,167253,167038,332962,499785,500215,499352,500648,0.1296,0.1296,0.1296
11,500000,500000,500000,500000,333270,166730,167128,332872,500398,499602,501199,498801,0.2398,0.2398,0.2398
12,500000,500000,500000,500000,333354,166646,167515,332485,500869,499131,502617,497383,0.5234,0.5234,0.5234
13,500000,500000,500000,500000,332835,167165,166880,333120,499715,500285,499142,500858,0.1716,0.1716,0.1716
14,500000,500000,500000,500000,332786,167214,167064,332936,499850,500150,499548,500452,0.0904,0.0904,0.0904
15,500000,500000,500000,500000,333141,166859,166884,333116,500025,499975,500075,499925,0.015,0.015,0.015
16,500000,500000,500000,500000,333424,166576,167146,332854,500570,499430,501717,498283,0.3434,0.3434,0.3434
17,500000,500000,500000,500000,333091,166909,167484,332516,500575,499425,501732,498268,0.3464,0.3464,0.3464
18,500000,500000,500000,500000,333183,166817,166679,333321,499862,500138,499584,500416,0.0832,0.0832,0.0832
19,500000,500000,500000,500000,332913,167087,167022,332978,499935,500065,499804,500196,0.0392,0.0392,0.0392
20,500000,500000,500000,500000,333241,166759,166672,333328,499913,500087,499738,500262,0.0524,0.0524,0.0524
21,500000,500000,500000,500000,332685,167315,166580,333420,499265,500735,497786,502214,0.4428,0.4428,0.4428
22,500000,500000,500000,500000,332700,167300,166671,333329,499371,500629,498105,501895,0.379,0.379,0.379
