sim_index,c1_actual,c2_actual,c3_actual,i1_expected,i2_expected,i3_expected,c1_to_i1,c1_to_i2,c1_to_i3,c2_to_i1,c2_to_i2,c2_to_i3,c3_to_i1,c3_to_i2,c3_to_i3,i1_counted,i2_counted,i3_counted,c1_computed,c2_computed,c3_computed,c1_percent_error,c2_percent_error,c3_percent_error,max_percent_error
0,333333,333333,333334,333333,333333,333334,166019,83382,83932,83274,166320,83739,83471,83370,166493,332764,333072,334164,331056,332288,336656,0.6831006831006831,0.3135003135003135,0.9965980068039864,0.9965980068039864
1,333333,333333,333334,333333,333333,333334,166583,82956,83794,83625,166678,83030,83186,82974,167174,333394,332608,333998,333576,330432,335992,0.0729000729000729,0.8703008703008703,0.7973984052031896,0.8703008703008703
2,333333,333333,333334,333333,333333,333334,166138,83705,83490,83185,167005,83143,83534,83186,166614,332857,333896,333247,331428,335584,332988,0.5715005715005715,0.6753006753006753,0.1037997924004152,0.6753006753006753
3,333333,333333,333334,333333,333333,333334,166743,83422,83168,83659,166340,83334,83167,83629,166538,333569,333391,333040,334276,333564,332160,0.2829002829002829,0.0693000693000693,0.3521992956014088,0.3521992956014088
4,333333,333333,333334,333333,333333,333334,166614,83626,83093,83558,166959,82816,83084,83151,167099,333256,333736,333008,333024,334944,332032,0.0927000927000927,0.4833004833004833,0.3905992188015624,0.4833004833004833
5,333333,333333,333334,333333,333333,333334,166455,83711,83167,83703,166350,83280,82936,83386,167012,333094,333447,333459,332376,333788,333836,0.2871002871002871,0.1365001365001365,0.1505996988006024,0.2871002871002871
6,333333,333333,333334,333333,333333,333334,166461,83490,83382,83033,166639,83661,83103,83697,166534,332597,333826,333577,330388,335304,334308,0.8835008835008835,0.5913005913005913,0.2921994156011688,0.8835008835008835
7,333333,333333,333334,333333,333333,333334,166371,83475,83487,83214,166530,83589,83832,83239,166263,333417,333244,333339,333668,332976,333356,0.1005001005001005,0.1071001071001071,0.0065999868000264,0.1071001071001071
8,333333,333333,333334,333333,333333,333334,166283,83490,83560,83153,166760,83420,83476,83272,166586,332912,333522,333566,331648,334088,334264,0.5055005055005055,0.2265002265002265,0.278999442001116,0.5055005055005055
9,333333,333333,333334,333333,333333,333334,166817,83354,83162,83331,167139,82863,83802,83356,166176,333950,333849,332201,335800,335396,328804,0.7401007401007401,0.6189006189006189,1.358997282005436,1.358997282005436
10,333333,333333,333334,333333,333333,333334,166220,83362,83751,83863,166205,83265,83104,83616,166614,333187,333183,333630,332748,332732,334520,0.1755001755001755,0.1803001803001803,0.3557992884014232,0.3557992884014232
11,333333,333333,333334,333333,333333,333334,166411,83571,83351,83044,166802,83487,83265,83378,166691,332720,333751,333529,330880,335004,334116,0.7359007359007359,0.5013005013005013,0.2345995308009384,0.7359007359007359
12,333333,333333,333334,333333,333333,333334,166579,83133,83621,83317,166484,83532,83339,83848,166147,333235,333465,333300,332940,333860,333200,0.1179001179001179,0.1581001581001581,0.0401999196001608,0.1581001581001581
