sim_index,c1_actual,c2_actual,c3_actual,c4_actual,i1_expected,i2_expected,i3_expected,i4_expected,c1_to_i1,c1_to_i2,c1_to_i3,c1_to_i4,c2_to_i1,c2_to_i2,c2_to_i3,c2_to_i4,c3_to_i1,c3_to_i2,c3_to_i3,c3_to_i4,c4_to_i1,c4_to_i2,c4_to_i3,c4_to_i4,i1_counted,i2_counted,i3_counted,i4_counted,c1_computed,c2_computed,c3_computed,c4_computed,c1_percent_error,c2_percent_error,c3_percent_error,c4_percent_error,max_percent_error
0,250000,250000,250000,250000,250000,250000,250000,250000,99724,50145,50083,50048,50080,100162,50168,49590,49929,50288,99827,49956,49992,50116,49963,99929,249725,250711,250041,249523,248625,253555,250205,247615,0.55,1.422,0.082,0.954,1.422
1,250000,250000,250000,250000,250000,250000,250000,250000,99652,50303,50124,49921,50013,99979,49780,50228,49776,50555,99684,49985,50154,50324,49819,99703,249595,251161,249407,249837,247975,255805,247035,249185,0.81,2.322,1.186,0.326,2.322
2,250000,250000,250000,250000,250000,250000,250000,250000,100297,50046,49730,49927,49924,100156,50032,49888,50226,49825,100112,49837,50145,50082,49681,100092,250592,250109,249555,249744,252960,250545,247775,248720,1.184,0.218,0.89,0.512,1.184
3,250000,250000,250000,250000,250000,250000,250000,250000,99709,50180,50163,49948,49769,99986,50356,49889,50038,50085,100105,49772,50322,49727,50083,99868,249838,249978,250707,249477,249190,249890,253535,247385,0.324,0.044,1.414,1.046,1.414
4,250000,250000,250000,250000,250000,250000,250000,250000,99944,50101,49842,50113,49903,100144,50015,49938,50174,49912,99818,50096,49867,49793,49981,100359,249888,249950,249656,250506,249440,249750,248280,252530,0.224,0.1,0.688,1.012,1.012
5,250000,250000,250000,250000,250000,250000,250000,250000,99900,50176,49739,50185,49859,100000,49867,50274,50047,49998,100133,49822,50062,49773,49805,100360,249868,249947,249544,250641,249340,249735,247720,253205,0.264,0.106,0.912,1.282,1.282
6,250000,250000,250000,250000,250000,250000,250000,250000,99977,50370,49619,50034,49872,100008,50323,49797,49802,49743,100396,50059,49981,49791,49941,100287,249632,249912,250279,250177,248160,249560,251395,250885,0.736,0.176,0.558,0.354,0.736
7,250000,250000,250000,250000,250000,250000,250000,250000,99959,50012,50104,49925,50318,99937,50005,49740,50120,50053,99837,49990,50256,49686,49812,100246,250653,249688,249758,249901,253265,248440,248790,249505,1.306,0.624,0.484,0.198,1.306
8,250000,250000,250000,250000,250000,250000,250000,250000,99711,49793,50188,50308,50069,99866,49804,50261,50000,50371,99771,49858,49829,50144,49896,100131,249609,250174,249659,250558,248045,250870,248295,252790,0.782,0.348,0.682,1.116,1.116
9,250000,250000,250000,250000,250000,250000,250000,250000,99762,49922,50160,50156,50152,99906,49872,50070,49971,50358,99632,50039,49745,50023,50078,100154,249630,250209,249742,250419,248150,251045,248710,252095,0.74,0.418,0.516,0.838,0.838
10,250000,250000,250000,250000,250000,250000,250000,250000,100511,49917,49500,50072,49977,99986,50150,49887,50136,49926,99523,50415,49959,50016,50274,99751,250583,249845,249447,250125,252915,249225,247235,250625,1.166,0.31,1.106,0.25,1.166
11,250000,250000,250000,250000,250000,250000,250000,250000,100138,50311,50013,49538,49868,100069,50221,49842,49960,49955,100198,49887,50157,50420,50029,99394,250123,250755,250461,248661,250615,253775,252305,243305,0.246,1.51,0.922,2.678,2.678
12,250000,250000,250000,250000,250000,250000,250000,250000,99582,49725,50436,50257,50451,100051,49756,49742,49697,50148,100325,49830,50016,50097,49873,100014,249746,250021,250390,249843,248730,250105,251950,249215,0.508,0.042,0.78,0.314,0.78
13,250000,250000,250000,250000,250000,250000,250000,250000,100438,49857,49850,49855,50142,100241,49791,49826,50192,49822,100234,49752,50210,49806,50091,99893,250982,249726,249966,249326,254910,248630,249830,246630,1.964,0.548,0.068,1.348,1.964
14,250000,250000,250000,250000,250000,250000,250000,250000,100020,50438,49735,49807,49964,100357,49607,50072,50092,49921,100211,49776,49788,49772,50042,100398,249864,250488,249595,250053,249320,252440,247975,250265,0.272,0.976,0.81,0.106,0.976
15,250000,250000,250000,250000,250000,250000,250000,250000,100129,49501,50075,50295,50146,99909,49958,49987,50495,49646,100148,49711,49969,49884,49894,100253,250739,248940,250075,250246,253695,244700,250375,251230,1.478,2.12,0.15,0.492,2.12
16,250000,250000,250000,250000,250000,250000,250000,250000,99894,49986,50093,50027,50073,100253,49991,49683,49553,49819,100557,50071,49925,49765,49875,100435,249445,249823,250516,250216,247225,249115,252580,251080,1.11,0.354,1.032,0.432,1.11
17,250000,250000,250000,250000,250000,250000,250000,250000,99897,49930,49883,50290,50113,100153,49515,50219,49859,50109,100373,49659,49743,50351,50052,99854,249612,250543,249823,250022,248060,252715,249115,250110,0.776,1.086,0.354,0.044,1.086
18,250000,250000,250000,250000,250000,250000,250000,250000,100057,50113,50030,49800,49822,100340,50090,49748,49973,49956,100088,49983,49932,50275,49867,99926,249784,250684,250075,249457,248920,253420,250375,247285,0.432,1.368,0.15,1.086,1.368
19,250000,250000,250000,250000,250000,250000,250000,250000,99960,50267,49750,50023,49840,99945,49922,50293,49741,49916,100117,50226,49698,49986,50062,100254,249239,250114,249851,250796,246195,250570,249255,253980,1.522,0.228,0.298,1.592,1.592
20,250000,250000,250000,250000,250000,250000,250000,250000,99515,50316,50124,50045,49957,100214,50480,49349,50041,50117,99867,49975,49846,49611,50343,100200,249359,250258,250814,249569,246795,251290,254070,247845,1.282,0.516,1.628,0.862,1.628
21,250000,250000,250000,250000,250000,250000,250000,250000,100226,49711,50269,49794,50178,99911,50299,49612,49841,50078,100068,50013,50327,49818,50122,99733,250572,249518,250758,249152,252860,247590,253790,245760,1.144,0.964,1.516,1.696,1.696
22,250000,250000,250000,250000,250000,250000,250000,250000,100003,50052,49693,50252,49954,100206,50113,49727,50190,49792,99547,50471,50164,49607,50039,100190,250311,249657,249392,250640,251555,248285,246960,253200,0.622,0.686,1.216,1.28,1.28
23,250000,250000,250000,250000,250000,250000,250000,250000,100738,49440,50038,49784,50208,99444,49849,50499,50028,49622,100355,49995,50007,50161,49919,99913,250981,248667,250161,250191,254905,243335,250805,250955,1.962,2.666,0.322,0.382,2.666
24,250000,250000,250000,250000,250000,250000,250000,250000,100166,49835,50185,49814,50143,100015,49683,50159,50054,49662,100505,49779,49869,49883,49920,100328,250232,249395,250293,250080,251160,246975,251465,250400,0.464,1.21,0.586,0.16,1.21
25,250000,250000,250000,250000,250000,250000,250000,250000,100054,50058,50076,49812,50264,99986,50202,49548,49797,49923,100619,49661,49977,50065,50023,99935,250092,250032,250920,248956,250460,250160,254600,244780,0.184,0.064,1.84,2.088,2.088
26,250000,250000,250000,250000,250000,250000,250000,250000,99638,50024,50428,49910,49678,100207,50100,50015,49827,49844,100405,49924,49707,50405,50001,99887,248850,250480,250934,249736,244250,252400,254670,248680,2.3,0.96,1.868,0.528,2.3
