sim_index,c1_actual,c2_actual,c3_actual,c4_actual,c5_actual,i1_expected,i2_expected,i3_expected,i4_expected,i5_expected,c1_to_i1,c1_to_i2,c1_to_i3,c1_to_i4,c1_to_i5,c2_to_i1,c2_to_i2,c2_to_i3,c2_to_i4,c2_to_i5,c3_to_i1,c3_to_i2,c3_to_i3,c3_to_i4,c3_to_i5,c4_to_i1,c4_to_i2,c4_to_i3,c4_to_i4,c4_to_i5,c5_to_i1,c5_to_i2,c5_to_i3,c5_to_i4,c5_to_i5,i1_counted,i2_counted,i3_counted,i4_counted,i5_counted,c1_computed,c2_computed,c3_computed,c4_computed,c5_computed,c1_percent_error,c2_percent_error,c3_percent_error,c4_percent_error,c5_percent_error,max_percent_error
0,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66287,33337,33377,33764,33235,33645,66751,33428,33165,33011,33403,33451,66386,33492,33268,33347,33456,33242,66368,33587,33122,33367,33355,33502,66654,199804,200362,199788,200291,199755,198821,202177,198725,201750,198526,0.5895,1.0885,0.6375,0.875,0.737,1.0885
1,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66519,33444,33182,33299,33556,33257,66544,33668,33235,33296,33332,33255,66645,33409,33359,33493,33524,33354,66480,33149,33389,33501,33144,33196,66770,199990,200268,199993,199619,200130,199940,201612,199958,197708,200782,0.03,0.806,0.021,1.146,0.391,1.146
2,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66562,33390,33164,33263,33621,33435,66786,32942,33554,33283,33211,33451,66662,33252,33424,33645,33238,33305,66563,33249,33114,33648,33168,33550,66520,199967,200513,199241,200182,200097,199802,203086,195435,201095,200583,0.099,1.543,2.2825,0.5475,0.2915,2.2825
3,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66445,33502,33267,33420,33366,33360,66503,33334,33393,33410,33201,33255,66474,33489,33581,33358,33291,33312,66396,33643,33300,33756,33453,33115,66376,199664,200307,199840,199813,200376,197979,201847,199038,198875,202262,1.0105,0.9235,0.481,0.5625,1.131,1.131
4,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66569,33456,33134,33356,33485,33436,66631,33650,33193,33090,33193,33479,66704,33252,33372,33052,33637,33175,66432,33704,33248,33263,33322,33505,66662,199498,200466,199985,199738,200313,196980,202803,199910,198424,201883,1.51,1.4015,0.045,0.788,0.9415,1.51
5,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66620,33290,33475,33325,33290,33377,66494,33256,33385,33488,33144,33270,66504,33315,33767,33352,33371,33370,66502,33405,33340,33312,33143,33291,66914,199833,199737,199748,199818,200864,198995,198418,198484,198905,205197,0.5025,0.791,0.758,0.5475,2.5985,2.5985
6,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66598,33343,33328,33546,33185,33231,66882,33116,33349,33422,33469,33344,66484,33282,33421,33151,33419,33499,66531,33400,33291,33266,33298,33459,66686,199740,200254,199725,200167,200114,198436,201528,198346,201005,200686,0.782,0.764,0.827,0.5025,0.343,0.827
7,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66236,33558,33427,33449,33330,33482,66559,33227,33311,33421,33249,33232,66981,33426,33112,33443,33126,33255,67097,33079,33339,33498,33384,33460,66319,199749,199973,200274,200743,199261,198490,199838,201648,204469,195555,0.755,0.081,0.824,2.2345,2.2225,2.2345
8,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66611,33441,33283,33288,33377,33285,66495,33481,33302,33437,33245,33378,66711,33200,33466,33130,33155,33132,66844,33739,33525,33546,33064,33042,66823,199796,200015,199671,199676,200842,198773,200090,198021,198051,205065,0.6135,0.045,0.9895,0.9745,2.5325,2.5325
9,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66904,33122,33300,33318,33356,33452,66499,33431,33291,33327,33429,33328,66453,33496,33294,33428,33488,32942,66648,33494,33449,33309,33229,33310,66703,200662,199746,199355,200063,200174,203982,198472,196120,200379,201047,1.991,0.764,1.94,0.1895,0.5235,1.991
10,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66785,33262,33345,33314,33294,33408,66653,33195,33434,33310,33162,33349,66593,33499,33397,33219,33260,33248,66900,33373,33270,33393,33277,33080,66980,199844,199917,199658,200227,200354,199062,199501,197943,201365,202129,0.469,0.2495,1.0285,0.6825,1.0645,1.0645
11,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66608,33308,33254,33551,33279,33380,66616,33573,33213,33218,33246,33116,66872,33486,33280,33202,33496,33764,66113,33425,33515,33179,33458,33385,66463,199951,199715,200921,199748,199665,199705,198286,205540,198484,197985,0.1475,0.857,2.77,0.758,1.0075,2.77
12,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66588,33377,33187,33303,33545,33330,66626,33494,33379,33171,33026,33286,66259,33673,33756,33100,33473,33409,66621,33397,32980,33855,33475,33352,66338,199024,200617,199824,200328,200207,194129,203711,198941,201973,201245,2.9355,1.8555,0.5295,0.9865,0.6225,2.9355
13,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66475,33133,33446,33575,33371,33187,67065,33141,33387,33220,33062,33109,66827,33417,33585,33351,33466,33334,66396,33453,33489,33379,33380,33351,66401,199564,200152,200128,200126,200030,197377,200914,200770,200758,200180,1.3115,0.457,0.385,0.379,0.09,1.3115
14,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66989,33518,32900,33070,33523,33401,66380,33408,33367,33444,33200,33198,66503,33609,33490,33247,33638,33360,66471,33284,33350,33238,33462,33480,66470,200187,199972,199633,199997,200211,201125,199832,197792,199982,201269,0.5625,0.084,1.104,0.009,0.6345,1.104
15,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66663,33518,33217,33210,33392,33392,67106,33261,33117,33124,33173,33180,66703,33438,33506,33118,33242,33208,67007,33425,33559,32985,33346,33428,66682,199905,200031,199735,200200,200129,199429,200186,198406,201203,200776,0.2855,0.093,0.797,0.6015,0.388,0.797
16,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66634,33497,33426,33172,33271,33579,66819,33100,33215,33287,33285,33100,67006,33302,33307,33239,33288,33624,66518,33331,33456,33402,33242,33537,66363,200193,200106,200398,199744,199559,201161,200638,202394,198460,197347,0.5805,0.319,1.197,0.77,1.3265,1.3265
17,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66442,33164,33508,33267,33619,33508,66621,33166,33400,33305,33482,33024,66545,33578,33371,33577,32838,33450,66724,33411,32928,33051,33541,33416,67064,199937,198698,200210,200385,200770,199621,192168,201263,202316,204632,0.1895,3.916,0.6315,1.158,2.316,3.916
18,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66685,33655,33290,33369,33001,33237,66029,33402,33737,33595,33361,33315,66668,33317,33339,33370,33726,33077,66649,33178,33575,33189,33299,33299,66638,200228,199914,199736,200371,199751,201371,199483,198412,202232,198502,0.6855,0.2585,0.794,1.116,0.749,1.116
19,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66558,33374,33188,33169,33711,33280,66382,33348,33545,33445,33409,33196,66384,33473,33538,32980,33134,33566,66809,33511,32973,33275,33461,33368,66923,199200,199361,199947,200364,201128,195188,196156,199681,202189,206785,2.406,1.922,0.1595,1.0945,3.3925,3.3925
20,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66505,33306,33328,33260,33601,33536,66087,33666,33318,33393,33327,33513,66282,33441,33437,33342,33275,33379,66845,33159,33374,33410,33508,33069,66639,200084,199591,200163,199933,200229,200505,197540,200980,199597,201377,0.2525,1.23,0.49,0.2015,0.6885,1.23
21,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66618,33411,33403,33123,33445,33391,66638,33334,33367,33270,33590,33344,66456,33285,33325,33392,32976,33444,66666,33522,33315,33574,33295,33577,66239,200306,199943,199932,200018,199801,201841,199657,199591,200108,198803,0.9205,0.1715,0.2045,0.054,0.5985,0.9205
22,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66814,33437,33300,33218,33231,33295,66911,33596,32977,33221,33220,33319,67131,33221,33109,33107,33274,33563,66817,33239,32979,33346,33642,33268,66765,199415,200287,201232,199501,199565,196481,201726,207411,196998,197383,1.7595,0.863,3.7055,1.501,1.3085,3.7055
