sim_index,c1_actual,c2_actual,c3_actual,c4_actual,c5_actual,c6_actual,i1_expected,i2_expected,i3_expected,i4_expected,i5_expected,i6_expected,c1_to_i1,c1_to_i2,c1_to_i3,c1_to_i4,c1_to_i5,c1_to_i6,c2_to_i1,c2_to_i2,c2_to_i3,c2_to_i4,c2_to_i5,c2_to_i6,c3_to_i1,c3_to_i2,c3_to_i3,c3_to_i4,c3_to_i5,c3_to_i6,c4_to_i1,c4_to_i2,c4_to_i3,c4_to_i4,c4_to_i5,c4_to_i6,c5_to_i1,c5_to_i2,c5_to_i3,c5_to_i4,c5_to_i5,c5_to_i6,c6_to_i1,c6_to_i2,c6_to_i3,c6_to_i4,c6_to_i5,c6_to_i6,i1_counted,i2_counted,i3_counted,i4_counted,i5_counted,i6_counted,c1_computed,c2_computed,c3_computed,c4_computed,c5_computed,c6_computed,c1_percent_error,c2_percent_error,c3_percent_error,c4_percent_error,c5_percent_error,c6_percent_error,max_percent_error
0,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47628,23619,23907,23676,23786,24050,23766,47954,23662,23751,23709,23824,23864,23801,47613,23936,23564,23888,23750,23766,23777,47669,23977,23727,23711,23691,23850,23793,47977,23644,24016,24053,23654,23873,23671,47403,166735,166884,166463,166698,166684,166536,167144,168184,165244,166885,166788,165754,0.2868011472045888,0.9108036432145729,0.8532034128136513,0.1314005256021024,0.0732002928011712,0.5495890082198356,0.9108036432145729
1,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47701,23795,23707,23780,23905,23778,23920,47277,23807,23972,23789,23901,23763,24018,47454,23847,23778,23806,23894,23841,23789,47611,23675,23856,23562,23678,23819,23977,47950,23680,23864,23946,23770,23925,23639,47526,166704,166555,166346,167112,166736,166547,166927,165887,164427,169777,167151,165831,0.1566006264025056,0.4674018696074784,1.3434053736214946,1.8666074664298657,0.29100116400465603,0.503389932201356,1.8666074664298657
2,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47894,23523,24082,23565,23850,23752,23893,47816,23944,23605,23662,23746,24060,23681,47774,23702,23659,23790,23707,23776,23676,47811,23779,23917,23701,23935,23850,23627,47738,23815,23776,23701,23840,23779,24016,47558,167031,166432,167166,166089,166704,166578,169211,165028,170154,162633,166927,166047,1.5270061080244322,0.9828039312157248,2.092808371233485,2.419809679238717,0.1566006264025056,0.373792524149517,2.419809679238717
3,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47656,23668,23812,23838,24068,23624,23784,47789,23852,23576,23884,23781,23814,23526,47715,24046,24004,23561,23966,23888,23687,47471,23776,23878,24071,23827,23835,23458,47573,23902,23693,24045,23805,23662,23736,47729,166984,166743,166706,166051,167041,166475,168883,167200,166941,162367,169281,165328,1.3302053208212832,0.32040128160512643,0.16500066000264002,2.5794103176412704,1.569006276025104,0.8051838963220735,2.5794103176412704
4,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47651,23617,23705,23751,23841,24101,23743,47884,23743,23700,23773,23823,23866,23738,47417,23958,23887,23800,23650,23885,23853,47894,23792,23592,24055,23695,23923,23811,47272,23910,23450,23913,24024,23602,23678,48003,166415,166732,166665,166716,166243,167229,164909,167123,166655,167011,163708,170594,1.0542042168168673,0.2742010968043872,0.006600026400105601,0.20700082800331202,1.7748070992283969,2.3543529129417413,2.3543529129417413
5,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47790,23870,23889,23688,23718,23711,23814,47933,23727,23850,23764,23578,23653,23877,47864,23903,23748,23621,23847,23874,23983,47547,23855,23560,23993,23610,23732,23757,47685,23889,23541,23724,23551,24113,23902,47839,166638,166888,166746,166858,166672,166198,166466,168212,167221,168003,166704,163394,0.12000048000192001,0.9276037104148417,0.333001332005328,0.8022032088128352,0.022800091200364803,1.9655606887862243,1.9655606887862243
6,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47842,23978,23640,23571,23918,23717,23967,47605,23664,23577,23954,23899,23750,23715,47887,23700,23849,23765,23858,23915,23770,47618,23677,23828,23810,23704,23906,23722,47900,23624,23791,23715,23796,23854,23823,47691,167018,166632,166663,166042,167121,166524,169120,166425,166641,162304,169839,165670,1.4724058896235586,0.1446005784023136,0.015000060000240002,2.6172104688418756,1.9038076152304608,0.5999880002399952,2.6172104688418756
7,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47665,23796,23915,23672,23796,23822,23867,47642,23982,23841,23825,23509,23735,23928,47738,23883,23716,23666,23908,23636,23887,47629,23867,23739,23735,23663,23664,23859,47896,23849,24010,23780,23834,23935,23716,47395,166920,166445,167020,166819,166816,165980,168436,165119,169134,167730,167709,161872,1.062004248016992,0.9282037128148513,1.480805923223693,0.6384025536102145,0.6258025032100129,2.878742425151497,2.878742425151497
8,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47821,23659,23741,23617,23739,24089,23655,48074,23655,23840,23662,23780,23962,23624,47820,23786,23747,23727,23795,23920,23561,47782,23677,23931,23684,23993,23874,23658,47740,23717,23894,23747,23801,23813,23835,47580,166811,167017,166452,166496,166400,166824,167675,169113,165168,165475,164804,167765,0.6054024216096865,1.4682058728234912,0.8988035952143809,0.7146028584114337,1.1172044688178753,0.6569868602627947,1.4682058728234912
9,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47799,23833,23752,23881,23927,23474,23670,48005,23704,23654,23973,23660,23763,23592,48101,23791,23748,23671,23842,23648,23753,47800,23851,23772,23837,23871,23694,23760,47805,23699,24098,23842,23558,23889,23905,47378,167009,166791,166562,166775,167209,165654,169057,167535,165936,167423,170454,159595,1.4346057384229538,0.5214020856083424,0.438001752007008,0.45420181680726723,2.2728090912363648,4.244915101697966,4.244915101697966
10,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47700,23615,23892,23937,23637,23885,23677,47929,23784,23717,23683,23876,23900,23619,47299,24043,23768,24037,23787,23708,23892,47841,23647,23791,23648,23657,23792,23828,47883,23858,23808,23923,23567,23896,23721,47755,166520,166451,166226,167262,166339,167202,165642,165161,163589,170824,164378,170405,0.6144024576098305,0.903003612014448,1.8462073848295393,2.4948099792399168,1.372805491221965,2.240955180896382,2.4948099792399168
11,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47109,23759,24118,23887,23875,23918,23848,47751,23703,23677,23544,24143,23815,23755,47401,23800,23920,23975,23722,24031,23835,47412,24020,23646,23900,23696,23778,24039,47338,23915,23896,23878,23564,23923,23848,47561,166290,166870,166399,166738,166545,167158,164036,168087,164797,167165,165817,170098,1.578006312025248,0.8526034104136416,1.1214044856179424,0.2994011976047904,0.5094020376081504,2.0567588648227035,2.0567588648227035
12,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47687,23944,23884,23739,23491,23921,23791,47660,23892,23897,23561,23865,23788,23592,47329,23880,24085,23992,23647,24078,23750,47663,23672,23856,23584,23808,23691,23820,47639,24124,23859,23977,23805,23707,23564,47758,166356,167059,166351,166706,166012,167516,164497,169406,164462,166941,162095,172598,1.3014052056208225,1.644006576026304,1.3224052896211584,0.16500066000264002,2.7426109704438817,3.5567288654226914,3.5567288654226914
13,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47523,23758,23855,23823,23884,23823,23777,47755,23806,23705,23695,23928,23742,23853,47404,23843,23848,23976,23792,23986,23687,47624,23757,23820,23833,23827,23852,23767,47661,23726,23773,23733,23867,23855,23774,47668,166440,166912,166471,166617,166619,166941,165084,168380,165300,166320,166334,168582,0.9492037968151873,1.0284041136164546,0.8196032784131136,0.2076008304033216,0.19920079680318722,1.1471770564588708,1.1471770564588708
