sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,500000,500000,500000,500000,349739,150261,150564,349436,500303,499697,500758,499242,0.1516,0.1516,0.1516
1,500000,500000,500000,500000,349711,150289,150134,349866,499845,500155,499613,500387,0.0774,0.0774,0.0774
2,500000,500000,500000,500000,349917,150083,150443,349557,500360,499640,500900,499100,0.18,0.18,0.18
3,500000,500000,500000,500000,350159,149841,150135,349865,500294,499706,500735,499265,0.147,0.147,0.147
4,500000,500000,500000,500000,349944,150056,150727,349273,500671,499329,501678,498322,0.3356,0.3356,0.3356
5,500000,500000,500000,500000,350726,149274,150111,349889,500837,499163,502093,497907,0.4186,0.4186,0.4186
6,500000,500000,500000,500000,349678,150322,149819,350181,499497,500503,498743,501257,0.2514,0.2514,0.2514
7,500000,500000,500000,500000,350238,149762,149523,350477,499761,500239,499403,500597,0.1194,0.1194,0.1194
8,500000,500000,500000,500000,349763,150237,149383,350617,499146,500854,497865,502135,0.427,0.427,0.427
9,500000,500000,500000,500000,350177,149823,149798,350202,499975,500025,499938,500062,0.0124,0.0124,0.0124
10,500000,500000,500000,500000,350422,149578,150083,349917,500505,499495,501263,498737,0.2526,0.2526,0.2526
11,500000,500000,500000,500000,350371,149629,149934,350066,500305,499695,500763,499237,0.1526,0.1526,0.1526
12,500000,500000,500000,500000,350191,149809,149782,350218,499973,500027,499933,500067,0.0134,0.0134,0.0134
13,500000,500000,500000,500000,349922,150078,150230,349770,500152,499848,500380,499620,0.076,0.076,0.076
14,500000,500000,500000,500000,350225,149775,149945,350055,500170,499830,500425,499575,0.085,0.085,0.085
15,500000,500000,500000,500000,350245,149755,150390,349610,500635,499365,501588,498412,0.3176,0.3176,0.3176
16,500000,500000,500000,500000,349947,150053,149970,350030,499917,500083,499793,500207,0.0414,0.0414,0.0414
17,500000,500000,500000,500000,350341,149659,149736,350264,500077,499923,500193,499807,0.0386,0.0386,0.0386
18,500000,500000,500000,500000,349736,150264,149120,350880,498856,501144,497140,502860,0.572,0.572,0.572
19,500000,500000,500000,500000,349606,150394,149865,350135,499471,500529,498678,501322,0.2644,0.2644,0.2644
20,500000,500000,500000,500000,350208,149792,149967,350033,500175,499825,500438,499562,0.0876,0.0876,0.0876
21,500000,500000,500000,500000,349724,150276,150113,349887,499837,500163,499593,500407,0.0814,0.0814,0.0814
22,500000,500000,500000,500000,350547,149453,149792,350208,500339,499661,500848,499152,0.1696,0.1696,0.1696
23,500000,500000,500000,500000,350676,149324,149430,350570,500106,499894,500265,499735,0.053,0.053,0.053
24,500000,500000,500000,500000,350880,149120,149765,350235,500645,499355,501613,498387,0.3226,0.3226,0.3226
25,500000,500000,500000,500000,349959,150041,150179,349821,500138,499862,500345,499655,0.069,0.069,0.069
26,500000,500000,500000,500000,349947,150053,150289,349711,500236,499764,500590,499410,0.118,0.118,0.118
27,500000,500000,500000,500000,350055,149945,149849,350151,499904,500096,499760,500240,0.048,0.048,0.048
28,500000,500000,500000,500000,349717,150283,150207,349793,499924,500076,499810,500190,0.038,0.038,0.038
29,500000,500000,500000,500000,350553,149447,150449,349551,501002,498998,502505,497495,0.501,0.501,0.501
30,500000,500000,500000,500000,349906,150094,150036,349964,499942,500058,499855,500145,0.029,0.029,0.029
