sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,35149,14851,14789,35211,49938,50062,49845,50155,0.31,0.31,0.31
1,50000,50000,50000,50000,35033,14967,14793,35207,49826,50174,49565,50435,0.87,0.87,0.87
2,50000,50000,50000,50000,34945,15055,15015,34985,49960,50040,49900,50100,0.2,0.2,0.2
3,50000,50000,50000,50000,34916,15084,15018,34982,49934,50066,49835,50165,0.33,0.33,0.33
4,50000,50000,50000,50000,34983,15017,15092,34908,50075,49925,50188,49812,0.376,0.376,0.376
5,50000,50000,50000,50000,34939,15061,14939,35061,49878,50122,49695,50305,0.61,0.61,0.61
6,50000,50000,50000,50000,34926,15074,15079,34921,50005,49995,50013,49987,0.026,0.026,0.026
7,50000,50000,50000,50000,35016,14984,14844,35156,49860,50140,49650,50350,0.7,0.7,0.7
8,50000,50000,50000,50000,35005,14995,15012,34988,50017,49983,50043,49957,0.086,0.086,0.086
9,50000,50000,50000,50000,34858,15142,14908,35092,49766,50234,49415,50585,1.17,1.17,1.17
10,50000,50000,50000,50000,35040,14960,15103,34897,50143,49857,50358,49642,0.716,0.716,0.716
11,50000,50000,50000,50000,34918,15082,14926,35074,49844,50156,49610,50390,0.78,0.78,0.78
12,50000,50000,50000,50000,34958,15042,15036,34964,49994,50006,49985,50015,0.03,0.03,0.03
13,50000,50000,50000,50000,35099,14901,14909,35091,50008,49992,50020,49980,0.04,0.04,0.04
14,50000,50000,50000,50000,34916,15084,14890,35110,49806,50194,49515,50485,0.97,0.97,0.97
15,50000,50000,50000,50000,35079,14921,15163,34837,50242,49758,50605,49395,1.21,1.21,1.21
16,50000,50000,50000,50000,35021,14979,14841,35159,49862,50138,49655,50345,0.69,0.69,0.69
17,50000,50000,50000,50000,35042,14958,15003,34997,50045,49955,50113,49887,0.226,0.226,0.226
18,50000,50000,50000,50000,35067,14933,14984,35016,50051,49949,50128,49872,0.256,0.256,0.256
19,50000,50000,50000,50000,35028,14972,14875,35125,49903,50097,49758,50242,0.484,0.484,0.484
20,50000,50000,50000,50000,35016,14984,14799,35201,49815,50185,49538,50462,0.924,0.924,0.924
21,50000,50000,50000,50000,35034,14966,14878,35122,49912,50088,49780,50220,0.44,0.44,0.44
